ID_CLIENTE,SAFRA_REF,RENDA_MES_ANTERIOR,NO_FUNCIONARIOS
8784237149961904,2018-09-01,300502.0,107
8784237149961904,2018-10-01,499238.0,98
8784237149961904,2018-11-01,256117.0,104
8784237149961904,2018-12-01,433897.0,105
8784237149961904,2019-01-01,370549.0,112
8784237149961904,2019-02-01,437759.0,103
8784237149961904,2019-03-01,476666.0,106
8784237149961904,2019-04-01,320319.0,110
8784237149961904,2019-05-01,192951.0,110
8784237149961904,2019-06-01,131748.0,107
8784237149961904,2019-07-01,195303.5,113
8784237149961904,2019-08-01,258859.0,105
8784237149961904,2019-09-01,260881.0,103
8784237149961904,2019-10-01,65536.0,111
8784237149961904,2019-11-01,1022986.0,110
8784237149961904,2019-12-01,422474.0,108
8784237149961904,2020-01-01,243395.0,110
8784237149961904,2020-02-01,185125.0,112
8784237149961904,2020-03-01,149410.0,120
8784237149961904,2020-04-01,208466.0,114
8784237149961904,2020-05-01,110898.0,109
8784237149961904,2020-06-01,127589.0,115
8784237149961904,2020-07-01,273225.0,111
8784237149961904,2020-08-01,102260.0,118
8784237149961904,2020-09-01,362998.0,114
8784237149961904,2020-10-01,91295.0,115
8784237149961904,2020-11-01,106783.0,115
8784237149961904,2020-12-01,46197.0,113
8784237149961904,2021-01-01,181828.0,124
8784237149961904,2021-02-01,258050.0,118
8784237149961904,2021-03-01,146043.0,121
8784237149961904,2021-04-01,84311.0,116
8784237149961904,2021-05-01,232633.0,124
8784237149961904,2021-06-01,159072.0,118
15070048310374146,2021-02-01,508214.0,81
15070048310374146,2021-03-01,298608.0,75
18719614953021044,2019-02-01,13489.0,86
18719614953021044,2021-06-01,535745.0,96
39547025441582855,2018-09-01,555535.0,99
39547025441582855,2018-10-01,62079.0,93
39547025441582855,2018-11-01,523600.0,101
39547025441582855,2018-12-01,185536.0,103
39547025441582855,2019-01-01,221206.0,105
39547025441582855,2019-02-01,174525.0,99
39547025441582855,2019-03-01,127844.0,100
39547025441582855,2019-04-01,330282.0,103
39547025441582855,2019-05-01,660991.0,100
39547025441582855,2019-06-01,17564.0,97
39547025441582855,2019-07-01,878411.0,97
39547025441582855,2019-08-01,208771.0,104
39547025441582855,2019-09-01,392219.0,101
39547025441582855,2019-11-01,300373.0,107
39547025441582855,2019-12-01,454136.0,98
39547025441582855,2020-02-01,164613.0,110
39547025441582855,2020-03-01,393959.0,103
39547025441582855,2020-04-01,442478.0,104
39547025441582855,2020-05-01,111807.0,108
39547025441582855,2020-06-01,173264.0,111
39547025441582855,2020-08-01,280320.0,107
39547025441582855,2020-09-01,41330.0,111
39547025441582855,2020-10-01,673684.0,104
39547025441582855,2020-11-01,56643.0,103
39547025441582855,2020-12-01,323155.0,103
39547025441582855,2021-01-01,108382.0,114
39547025441582855,2021-03-01,688197.0,109
39547025441582855,2021-04-01,236510.0,110
39547025441582855,2021-05-01,107137.0,112
43266641219008038,2020-02-01,63964.0,88
43266641219008038,2020-03-01,63964.0,88
43266641219008038,2020-07-01,509852.0,86
49632905576538927,2018-11-01,517037.0,116
49632905576538927,2018-12-01,594020.0,110
49632905576538927,2019-02-01,176770.0,115
49632905576538927,2019-09-01,364151.0,118
49632905576538927,2019-10-01,85526.0,116
49632905576538927,2019-11-01,276022.0,124
49632905576538927,2020-04-01,107183.0,127
49632905576538927,2020-05-01,151741.0,129
49632905576538927,2020-08-01,227504.0,132
49632905576538927,2020-09-01,54869.0,122
49632905576538927,2020-12-01,502816.0,127
49632905576538927,2021-01-01,281360.0,137
49632905576538927,2021-02-01,136493.0,130
49632905576538927,2021-04-01,234645.0,131
49632905576538927,2021-05-01,287659.0,128
66220087398241662,2018-09-01,944288.0,89
66220087398241662,2018-10-01,323002.0,87
66220087398241662,2018-11-01,184607.0,90
66220087398241662,2018-12-01,434738.0,93
66220087398241662,2019-01-01,51468.0,97
66220087398241662,2019-02-01,173359.0,100
66220087398241662,2019-03-01,563459.0,93
66220087398241662,2019-04-01,552307.0,97
66220087398241662,2019-05-01,541155.0,98
66220087398241662,2019-07-01,209373.0,94
66220087398241662,2019-08-01,158205.0,99
66220087398241662,2019-09-01,304406.0,95
66220087398241662,2019-10-01,56574.0,99
66220087398241662,2019-11-01,143958.0,98
66220087398241662,2019-12-01,233910.0,100
66220087398241662,2020-01-01,292373.0,103
66220087398241662,2020-02-01,497788.0,97
66220087398241662,2020-11-01,834470.0,98
66220087398241662,2020-12-01,605453.0,103
66220087398241662,2021-04-01,285765.0,110
